variable,x,y
bio11,-305.0568,1.108305950765498E-4
bio11,-303.23040000000003,1.1965189332840964E-4
bio11,-301.404,1.2913487444166094E-4
bio11,-299.5776,1.393254497088492E-4
bio11,-297.7512,1.502731320215389E-4
bio11,-295.9248,1.620298862690106E-4
bio11,-294.09839999999997,1.7465172277297825E-4
bio11,-292.27200000000005,1.8819731485564262E-4
bio11,-290.4456,2.0272993424441665E-4
bio11,-288.61920000000003,2.1831579215358943E-4
bio11,-286.7928,2.3502616386394948E-4
bio11,-284.96639999999996,2.529356279410422E-4
bio11,-283.14000000000004,2.721241326071322E-4
bio11,-281.3136,2.926764718722552E-4
bio11,-279.48720000000003,3.146814997307956E-4
bio11,-277.6608,3.3823473495431244E-4
bio11,-275.83439999999996,3.6343585816212E-4
bio11,-274.00800000000004,3.9039194234646857E-4
bio11,-272.1816,4.1921460069715977E-4
bio11,-270.3552,4.500236827880144E-4
bio11,-268.5288,4.8294392763637006E-4
bio11,-266.7024,5.181093001738191E-4
bio11,-264.87600000000003,5.556588876061141E-4
bio11,-263.0496,5.957421381026506E-4
bio11,-261.2232,6.38514116872102E-4
bio11,-259.3968,6.84141181409359E-4
bio11,-257.5704,7.327957428060472E-4
bio11,-255.74400000000003,7.846622029319406E-4
bio11,-253.9176,8.399334619753063E-4
bio11,-252.09120000000001,8.988127228803933E-4
bio11,-250.26480000000004,9.615141316317022E-4
bio11,-248.4384,0.0010282628936693072
bio11,-246.61200000000002,0.0010992956813424826
bio11,-244.7856,0.0011748616816475987
bio11,-242.9592,0.001255222363397479
bio11,-241.13280000000003,0.0013406522339209914
bio11,-239.3064,0.0014314396539703012
bio11,-237.48000000000002,0.0015278871869668365
bio11,-235.65359999999998,0.001630311948247254
bio11,-233.82720000000006,0.0017390463035553694
bio11,-232.00080000000003,0.001854438683949411
bio11,-230.1744,0.0019768537022173405
bio11,-228.348,0.0021066719200462103
bio11,-226.52159999999998,0.002244294621050358
bio11,-224.69520000000006,0.0023901385720819235
bio11,-222.86880000000002,0.0025446393992751837
bio11,-221.0424,0.0027082529850304127
bio11,-219.216,0.0028814547695219517
bio11,-217.38959999999997,0.003064740914851427
bio11,-215.56320000000005,0.003258628537878394
bio11,-213.73680000000002,0.003463657107204199
bio11,-211.91039999999998,0.0036803875118494034
bio11,-210.084,0.00390940485522151
bio11,-208.25760000000002,0.004151316359639168
bio11,-206.4312,0.0044067553244531155
bio11,-204.6048,0.004676377400755882
bio11,-202.77839999999998,0.004960865713655949
bio11,-200.952,0.005260927136987448
bio11,-199.12560000000002,0.0055772969499230385
bio11,-197.29919999999998,0.005910735577344894
bio11,-195.4728,0.00626203091815114
bio11,-193.64639999999997,0.006631998810917139
bio11,-191.82000000000005,0.007021479774266481
bio11,-189.99360000000001,0.007431352976709604
bio11,-188.16719999999998,0.007862514816224575
bio11,-186.3408,0.00831589661538601
bio11,-184.51439999999997,0.008792455308139324
bio11,-182.68800000000005,0.009293180890381336
bio11,-180.8616,0.00981908943504095
bio11,-179.03519999999997,0.01037122868001461
bio11,-177.2088,0.010950674302875996
bio11,-175.38239999999996,0.0115585308521986
bio11,-173.55600000000004,0.012195933610200882
bio11,-171.7296,0.01286404486745596
bio11,-169.90319999999997,0.01356405671685934
bio11,-168.0768,0.014297187328338623
bio11,-166.2504,0.015064683742821217
bio11,-164.42400000000004,0.015867818146944046
bio11,-162.5976,0.0167078897356987
bio11,-160.77119999999996,0.017586220055818558
bio11,-158.9448,0.018504159525036812
bio11,-157.1184,0.019463075324892998
